,Active,Case-Fatality_Ratio,Combined_Key,Confirmed,Country/Region,Date,Deaths,Incidence_Rate,Latitude,Longitude,Province/State,Recovered
0,0.0,,"British Columbia, Canada",424,Canada,03-22-2020,10,,53.7267,-127.6476,British Columbia,0
1,0.0,,"British Columbia, Canada",472,Canada,03-23-2020,13,,53.7267,-127.6476,British Columbia,0
2,0.0,,"British Columbia, Canada",617,Canada,03-24-2020,13,,53.7267,-127.6476,British Columbia,0
3,0.0,,"British Columbia, Canada",617,Canada,03-25-2020,13,,53.7267,-127.6476,British Columbia,0
4,0.0,,"British Columbia, Canada",725,Canada,03-26-2020,14,,53.7267,-127.6476,British Columbia,0
5,0.0,,"British Columbia, Canada",725,Canada,03-27-2020,14,,53.7267,-127.6476,British Columbia,0
6,0.0,,"British Columbia, Canada",884,Canada,03-28-2020,17,,53.7267,-127.6476,British Columbia,0
7,0.0,,"British Columbia, Canada",884,Canada,03-29-2020,17,,53.7267,-127.6476,British Columbia,0
8,0.0,,"British Columbia, Canada",970,Canada,03-30-2020,19,,53.7267,-127.6476,British Columbia,0
9,0.0,,"British Columbia, Canada",1013,Canada,03-31-2020,24,,53.7267,-127.6476,British Columbia,0
10,0.0,,"British Columbia, Canada",1013,Canada,04-01-2020,24,,53.7267,-127.6476,British Columbia,0
11,0.0,,"British Columbia, Canada",1121,Canada,04-02-2020,31,,53.7267,-127.6476,British Columbia,0
12,0.0,,"British Columbia, Canada",1174,Canada,04-03-2020,31,,53.7267,-127.6476,British Columbia,0
13,0.0,,"British Columbia, Canada",1203,Canada,04-04-2020,38,,53.7267,-127.6476,British Columbia,0
14,0.0,,"British Columbia, Canada",1203,Canada,04-05-2020,38,,53.7267,-127.6476,British Columbia,0
15,0.0,,"British Columbia, Canada",1266,Canada,04-06-2020,38,,53.7267,-127.6476,British Columbia,0
16,0.0,,"British Columbia, Canada",1266,Canada,04-07-2020,39,,53.7267,-127.6476,British Columbia,0
17,0.0,,"British Columbia, Canada",1291,Canada,04-08-2020,43,,53.7267,-127.6476,British Columbia,0
18,0.0,,"British Columbia, Canada",1336,Canada,04-09-2020,48,,53.7267,-127.6476,British Columbia,0
19,0.0,,"British Columbia, Canada",1370,Canada,04-10-2020,50,,53.7267,-127.6476,British Columbia,0
20,0.0,,"British Columbia, Canada",1445,Canada,04-11-2020,58,,53.7267,-127.6476,British Columbia,0
21,1387.0,,"British Columbia, Canada",1445,Canada,04-12-2020,58,,53.7267,-127.6476,British Columbia,0
22,1421.0,,"British Columbia, Canada",1490,Canada,04-13-2020,69,,53.7267,-127.6476,British Columbia,0
23,1421.0,,"British Columbia, Canada",1490,Canada,04-14-2020,69,,53.7267,-127.6476,British Columbia,0
24,1445.0,,"British Columbia, Canada",1517,Canada,04-15-2020,72,,53.7267,-127.6476,British Columbia,0
25,1486.0,,"British Columbia, Canada",1561,Canada,04-16-2020,75,,53.7267,-127.6476,British Columbia,0
26,1498.0,,"British Columbia, Canada",1575,Canada,04-17-2020,77,,53.7267,-127.6476,British Columbia,0
27,1540.0,,"British Columbia, Canada",1618,Canada,04-18-2020,78,,53.7267,-127.6476,British Columbia,0
28,1566.0,,"British Columbia, Canada",1647,Canada,04-19-2020,81,,53.7267,-127.6476,British Columbia,0
29,1565.0,,"British Columbia, Canada",1647,Canada,04-20-2020,82,,53.7267,-127.6476,British Columbia,0
30,1637.0,,"British Columbia, Canada",1724,Canada,04-21-2020,87,,53.7267,-127.6476,British Columbia,0
31,1705.0,,"British Columbia, Canada",1795,Canada,04-22-2020,90,,53.7267,-127.6476,British Columbia,0
32,1730.0,,"British Columbia, Canada",1824,Canada,04-23-2020,94,,53.7267,-127.6476,British Columbia,0
33,1755.0,,"British Columbia, Canada",1853,Canada,04-24-2020,98,,53.7267,-127.6476,British Columbia,0
34,1848.0,,"British Columbia, Canada",1948,Canada,04-25-2020,100,,53.7267,-127.6476,British Columbia,0
35,1848.0,,"British Columbia, Canada",1948,Canada,04-26-2020,100,,53.7267,-127.6476,British Columbia,0
36,1894.0,,"British Columbia, Canada",1998,Canada,04-27-2020,104,,53.7267,-127.6476,British Columbia,0
37,1947.0,,"British Columbia, Canada",2053,Canada,04-28-2020,106,,53.7267,-127.6476,British Columbia,0
38,1978.0,,"British Columbia, Canada",2087,Canada,04-29-2020,109,,53.7267,-127.6476,British Columbia,0
39,2001.0,,"British Columbia, Canada",2112,Canada,04-30-2020,111,,53.7267,-127.6476,British Columbia,0
40,2033.0,,"British Columbia, Canada",2145,Canada,05-01-2020,112,,53.7267,-127.6476,British Columbia,0
41,2057.0,,"British Columbia, Canada",2171,Canada,05-02-2020,114,,53.7267,-127.6476,British Columbia,0
42,2057.0,,"British Columbia, Canada",2171,Canada,05-03-2020,114,,53.7267,-127.6476,British Columbia,0
43,2107.0,,"British Columbia, Canada",2224,Canada,05-04-2020,117,,53.7267,-127.6476,British Columbia,0
44,2111.0,,"British Columbia, Canada",2232,Canada,05-05-2020,121,,53.7267,-127.6476,British Columbia,0
45,2131.0,,"British Columbia, Canada",2255,Canada,05-06-2020,124,,53.7267,-127.6476,British Columbia,0
46,2162.0,,"British Columbia, Canada",2288,Canada,05-07-2020,126,,53.7267,-127.6476,British Columbia,0
47,2188.0,,"British Columbia, Canada",2315,Canada,05-08-2020,127,,53.7267,-127.6476,British Columbia,0
48,2201.0,,"British Columbia, Canada",2330,Canada,05-09-2020,129,,53.7267,-127.6476,British Columbia,0
49,2201.0,,"British Columbia, Canada",2330,Canada,05-10-2020,129,,53.7267,-127.6476,British Columbia,0
50,2223.0,,"British Columbia, Canada",2353,Canada,05-11-2020,130,,53.7267,-127.6476,British Columbia,0
51,2228.0,,"British Columbia, Canada",2360,Canada,05-12-2020,132,,53.7267,-127.6476,British Columbia,0
52,2244.0,,"British Columbia, Canada",2376,Canada,05-13-2020,132,,53.7267,-127.6476,British Columbia,0
53,372.0,,"British Columbia, Canada",2392,Canada,05-14-2020,135,,53.7267,-127.6476,British Columbia,1885
54,359.0,,"British Columbia, Canada",2407,Canada,05-15-2020,140,,53.7267,-127.6476,British Columbia,1908
55,355.0,,"British Columbia, Canada",2428,Canada,05-16-2020,141,,53.7267,-127.6476,British Columbia,1932
56,355.0,,"British Columbia, Canada",2428,Canada,05-17-2020,141,,53.7267,-127.6476,British Columbia,1932
57,335.0,,"British Columbia, Canada",2444,Canada,05-18-2020,143,,53.7267,-127.6476,British Columbia,1966
58,319.0,,"British Columbia, Canada",2446,Canada,05-19-2020,146,,53.7267,-127.6476,British Columbia,1981
59,313.0,,"British Columbia, Canada",2467,Canada,05-20-2020,149,,53.7267,-127.6476,British Columbia,2005
60,304.0,,"British Columbia, Canada",2479,Canada,05-21-2020,152,,53.7267,-127.6476,British Columbia,2023
61,309.0,,"British Columbia, Canada",2507,Canada,05-22-2020,155,,53.7267,-127.6476,British Columbia,2043
62,303.0,,"British Columbia, Canada",2517,Canada,05-23-2020,157,,53.7267,-127.6476,British Columbia,2057
63,303.0,,"British Columbia, Canada",2517,Canada,05-24-2020,157,,53.7267,-127.6476,British Columbia,2057
64,267.0,,"British Columbia, Canada",2530,Canada,05-25-2020,161,,53.7267,-127.6476,British Columbia,2102
65,258.0,,"British Columbia, Canada",2541,Canada,05-26-2020,161,,53.7267,-127.6476,British Columbia,2122
66,244.0,,"British Columbia, Canada",2550,Canada,05-27-2020,162,,53.7267,-127.6476,British Columbia,2144
67,241.0,,"British Columbia, Canada",2558,Canada,05-28-2020,164,,53.7267,-127.6476,British Columbia,2153
68,221.0,6.401249024199842,"British Columbia, Canada",2562,Canada,05-29-2020,164,50.127990730430575,53.7267,-127.6476,British Columbia,2177
69,228.0,6.373882627283328,"British Columbia, Canada",2573,Canada,05-30-2020,164,50.34321629562758,53.7267,-127.6476,British Columbia,2181
70,228.0,6.373882627283328,"British Columbia, Canada",2573,Canada,05-31-2020,164,50.34321629562758,53.7267,-127.6476,British Columbia,2181
71,225.0,6.353484790142473,"British Columbia, Canada",2597,Canada,06-01-2020,165,50.81279934696649,53.7267,-127.6476,British Columbia,2207
72,207.0,6.3437139561707045,"British Columbia, Canada",2601,Canada,06-02-2020,165,50.891063188856315,53.7267,-127.6476,British Columbia,2229
73,214.0,6.3286313381624115,"British Columbia, Canada",2623,Canada,06-03-2020,166,51.321514319250355,53.7267,-127.6476,British Columbia,2243
74,201.0,6.306990881458964,"British Columbia, Canada",2632,Canada,06-04-2020,166,51.49760796350244,53.7267,-127.6476,British Columbia,2265
75,193.0,6.344984802431611,"British Columbia, Canada",2632,Canada,06-05-2020,167,51.49760796350244,53.7267,-127.6476,British Columbia,2272
76,193.0,6.344984802431611,"British Columbia, Canada",2632,Canada,06-06-2020,167,51.49760796350244,53.7267,-127.6476,British Columbia,2272
77,193.0,6.344984802431611,"British Columbia, Canada",2632,Canada,06-07-2020,167,51.49760796350244,53.7267,-127.6476,British Columbia,2272
78,183.0,6.2805566002256485,"British Columbia, Canada",2659,Canada,06-08-2020,167,52.02588889625874,53.7267,-127.6476,British Columbia,2309
79,183.0,6.257025103034843,"British Columbia, Canada",2669,Canada,06-09-2020,167,52.22154850098329,53.7267,-127.6476,British Columbia,2319
80,185.0,6.231343283582089,"British Columbia, Canada",2680,Canada,06-10-2020,167,52.4367740661803,53.7267,-127.6476,British Columbia,2328
81,183.0,6.198960653303637,"British Columbia, Canada",2694,Canada,06-11-2020,167,52.710697512794674,53.7267,-127.6476,British Columbia,2344
82,187.0,6.2015503875969005,"British Columbia, Canada",2709,Canada,06-12-2020,168,53.0041869198815,53.7267,-127.6476,British Columbia,2354
83,187.0,6.2015503875969005,"British Columbia, Canada",2709,Canada,06-13-2020,168,53.0041869198815,53.7267,-127.6476,British Columbia,2354
84,187.0,6.2015503875969005,"British Columbia, Canada",2709,Canada,06-14-2020,168,53.0041869198815,53.7267,-127.6476,British Columbia,2354
85,182.0,6.120218579234973,"British Columbia, Canada",2745,Canada,06-15-2020,168,53.708561496889885,53.7267,-127.6476,British Columbia,2395
86,172.0,6.095791001451379,"British Columbia, Canada",2756,Canada,06-16-2020,168,53.923787062086895,53.7267,-127.6476,British Columbia,2416
87,185.0,6.054054054054054,"British Columbia, Canada",2775,Canada,06-17-2020,168,54.29554031106355,53.7267,-127.6476,British Columbia,2422
88,190.0,6.036651095939632,"British Columbia, Canada",2783,Canada,06-18-2020,168,54.452067994843205,53.7267,-127.6476,British Columbia,2425
89,178.0,6.021505376344086,"British Columbia, Canada",2790,Canada,06-19-2020,168,54.589029718150385,53.7267,-127.6476,British Columbia,2444
90,178.0,6.021505376344086,"British Columbia, Canada",2790,Canada,06-20-2020,168,54.589029718150385,53.7267,-127.6476,British Columbia,2444
91,178.0,6.021505376344086,"British Columbia, Canada",2790,Canada,06-21-2020,168,54.589029718150385,53.7267,-127.6476,British Columbia,2444
92,182.0,5.9886605244507445,"British Columbia, Canada",2822,Canada,06-22-2020,169,55.21514045326896,53.7267,-127.6476,British Columbia,2471
93,174.0,5.99647266313933,"British Columbia, Canada",2835,Canada,06-23-2020,170,55.46949793941086,53.7267,-127.6476,British Columbia,2491
94,162.0,6.002106002106003,"British Columbia, Canada",2849,Canada,06-24-2020,171,55.74342138602525,53.7267,-127.6476,British Columbia,2516
95,179.0,6.029975601254794,"British Columbia, Canada",2869,Canada,06-25-2020,173,56.134740595474355,53.7267,-127.6476,British Columbia,2517
96,159.0,6.045865184155664,"British Columbia, Canada",2878,Canada,06-26-2020,174,56.31083423972646,53.7267,-127.6476,British Columbia,2545
97,159.0,6.045865184155664,"British Columbia, Canada",2878,Canada,06-27-2020,174,56.31083423972646,53.7267,-127.6476,British Columbia,2545
98,159.0,6.045865184155664,"British Columbia, Canada",2878,Canada,06-28-2020,174,56.31083423972646,53.7267,-127.6476,British Columbia,2545
99,153.0,5.991735537,"British Columbia, Canada",2904,Canada,06-29-2020,174,56.81954921201029,53.7267,-127.6476,British Columbia,2577
100,152.0,5.967078189300412,"British Columbia, Canada",2916,Canada,06-30-2020,174,57.05434073767975,53.7267,-127.6476,British Columbia,2590
101,152.0,5.967078189300412,"British Columbia, Canada",2916,Canada,07-01-2020,174,57.05434073767975,53.7267,-127.6476,British Columbia,2590
102,160.0,6.020408163265308,"British Columbia, Canada",2940,Canada,07-02-2020,177,57.52392378901868,53.7267,-127.6476,British Columbia,2603
103,162.0,6.006107906345438,"British Columbia, Canada",2947,Canada,07-03-2020,177,57.66088551232587,53.7267,-127.6476,British Columbia,2608
104,162.0,6.006107906345438,"British Columbia, Canada",2947,Canada,07-04-2020,177,57.66088551232587,53.7267,-127.6476,British Columbia,2608
105,162.0,6.006107906345438,"British Columbia, Canada",2947,Canada,07-05-2020,177,57.66088551232587,53.7267,-127.6476,British Columbia,2608
106,166.0,6.145063801208866,"British Columbia, Canada",2978,Canada,07-06-2020,183,58.26743028697199,53.7267,-127.6476,British Columbia,2629
107,162.0,6.120401337792642,"British Columbia, Canada",2990,Canada,07-07-2020,183,58.50222181264145,53.7267,-127.6476,British Columbia,2645
108,162.0,6.183510638297872,"British Columbia, Canada",3008,Canada,07-08-2020,186,58.85440910114565,53.7267,-127.6476,British Columbia,2660
109,175.0,6.142668428005284,"British Columbia, Canada",3028,Canada,07-09-2020,186,59.24572831059475,53.7267,-127.6476,British Columbia,2667
110,187.0,6.125122830003276,"British Columbia, Canada",3053,Canada,07-10-2020,187,59.73487732240614,53.7267,-127.6476,British Columbia,2679
111,187.0,6.125122830003276,"British Columbia, Canada",3053,Canada,07-11-2020,187,59.73487732240614,53.7267,-127.6476,British Columbia,2679
112,187.0,6.125122830003276,"British Columbia, Canada",3053,Canada,07-12-2020,187,59.73487732240614,53.7267,-127.6476,British Columbia,2679
113,185.0,6.1906321650835245,"British Columbia, Canada",3053,Canada,07-13-2020,189,59.73487732240614,53.7267,-127.6476,British Columbia,2679
114,209.0,6.042199488491049,"British Columbia, Canada",3128,Canada,07-14-2020,189,61.20232435784028,53.7267,-127.6476,British Columbia,2730
115,207.0,6.001905366783106,"British Columbia, Canada",3149,Canada,07-15-2020,189,61.61320952776185,53.7267,-127.6476,British Columbia,2753
116,192.0,5.962145110410094,"British Columbia, Canada",3170,Canada,07-16-2020,189,62.02409469768341,53.7267,-127.6476,British Columbia,2789
117,207.0,5.909943714821765,"British Columbia, Canada",3198,Canada,07-17-2020,189,62.57194159091216,53.7267,-127.6476,British Columbia,2802
118,207.0,5.909943714821765,"British Columbia, Canada",3198,Canada,07-18-2020,189,62.57194159091216,53.7267,-127.6476,British Columbia,2802
119,207.0,5.909943714821765,"British Columbia, Canada",3198,Canada,07-19-2020,189,62.57194159091216,53.7267,-127.6476,British Columbia,2802
120,253.0,5.7272727272727275,"British Columbia, Canada",3300,Canada,07-20-2020,189,64.5676695591026,53.7267,-127.6476,British Columbia,2858
121,266.0,5.679086538461537,"British Columbia, Canada",3328,Canada,07-21-2020,189,65.11551645233135,53.7267,-127.6476,British Columbia,2873
122,266.0,5.679086538461537,"British Columbia, Canada",3328,Canada,07-22-2020,189,65.11551645233135,53.7267,-127.6476,British Columbia,2873
123,304.0,5.601415094339624,"British Columbia, Canada",3392,Canada,07-23-2020,190,66.36773792256851,53.7267,-127.6476,British Columbia,2898
124,304.0,5.601415094339624,"British Columbia, Canada",3392,Canada,07-24-2020,190,66.36773792256851,53.7267,-127.6476,British Columbia,2898
125,294.0,5.5864287803451305,"British Columbia, Canada",3419,Canada,07-25-2020,191,66.89601885532478,53.7267,-127.6476,British Columbia,2934
126,294.0,5.5864287803451305,"British Columbia, Canada",3419,Canada,07-26-2020,191,66.89601885532478,53.7267,-127.6476,British Columbia,2934
127,264.0,5.514285714285713,"British Columbia, Canada",3500,Canada,07-27-2020,193,68.48086165359365,53.7267,-127.6476,British Columbia,3043
128,253.0,5.5066704513198985,"British Columbia, Canada",3523,Canada,07-28-2020,194,68.93087874446014,53.7267,-127.6476,British Columbia,3076
129,259.0,5.446378439079169,"British Columbia, Canada",3562,Canada,07-29-2020,194,69.6939512028859,53.7267,-127.6476,British Columbia,3109
130,242.0,5.4023948760790885,"British Columbia, Canada",3591,Canada,07-30-2020,194,70.2613640565871,53.7267,-127.6476,British Columbia,3155
131,278.0,5.355671518813513,"British Columbia, Canada",3641,Canada,07-31-2020,195,71.23966208020987,53.7267,-127.6476,British Columbia,3168
132,278.0,5.355671518813513,"British Columbia, Canada",3641,Canada,08-01-2020,195,71.23966208020987,53.7267,-127.6476,British Columbia,3168
133,278.0,5.355671518813513,"British Columbia, Canada",3641,Canada,08-02-2020,195,71.23966208020987,53.7267,-127.6476,British Columbia,3168
134,278.0,5.355671518813513,"British Columbia, Canada",3641,Canada,08-03-2020,195,71.23966208020987,53.7267,-127.6476,British Columbia,3168
135,319.0,5.149194613150251,"British Columbia, Canada",3787,Canada,08-04-2020,195,74.09629230918836,53.7267,-127.6476,British Columbia,3273
136,351.0,5.086071987480438,"British Columbia, Canada",3834,Canada,08-05-2020,195,75.01589245139375,53.7267,-127.6476,British Columbia,3288
137,371.0,5.024478227261016,"British Columbia, Canada",3881,Canada,08-06-2020,195,75.93549259359915,53.7267,-127.6476,British Columbia,3315
138,386.0,4.956786985256736,"British Columbia, Canada",3934,Canada,08-07-2020,195,76.97248849863928,53.7267,-127.6476,British Columbia,3353
139,386.0,4.956786985256736,"British Columbia, Canada",3934,Canada,08-08-2020,195,76.97248849863928,53.7267,-127.6476,British Columbia,3353
140,386.0,4.956786985256736,"British Columbia, Canada",3934,Canada,08-09-2020,195,76.97248849863928,53.7267,-127.6476,British Columbia,3353
141,445.0,4.7970479704797055,"British Columbia, Canada",4065,Canada,08-10-2020,195,79.53562932053094,53.7267,-127.6476,British Columbia,3425
142,472.0,4.7433714424714175,"British Columbia, Canada",4111,Canada,08-11-2020,195,80.43566350226386,53.7267,-127.6476,British Columbia,3444
143,472.0,4.7433714424714175,"British Columbia, Canada",4111,Canada,08-12-2020,195,80.43566350226386,53.7267,-127.6476,British Columbia,3444
144,578.0,4.5858680393074405,"British Columbia, Canada",4274,Canada,08-13-2020,196,83.62491505927409,53.7267,-127.6476,British Columbia,3500
145,629.0,4.497475906379075,"British Columbia, Canada",4358,Canada,08-14-2020,196,85.26845573896034,53.7267,-127.6476,British Columbia,3533
146,629.0,4.497475906379075,"British Columbia, Canada",4358,Canada,08-15-2020,196,85.26845573896034,53.7267,-127.6476,British Columbia,3533
147,629.0,4.497475906379075,"British Columbia, Canada",4358,Canada,08-16-2020,196,85.26845573896034,53.7267,-127.6476,British Columbia,3533
148,629.0,4.497475906379075,"British Columbia, Canada",4358,Canada,08-17-2020,196,85.26845573896034,53.7267,-127.6476,British Columbia,3533
149,775.0,4.233483002,"British Columbia, Canada",4677,Canada,08-18-2020,198,91.50999713,53.7267,-127.6476,British Columbia,3704
150,798.0,4.172813487881982,"British Columbia, Canada",4745,Canada,08-19-2020,198,92.84048244180056,53.7267,-127.6476,British Columbia,3749
151,798.0,4.172813487881982,"British Columbia, Canada",4745,Canada,08-20-2020,198,92.84048244180056,53.7267,-127.6476,British Columbia,3749
152,824.0,4.109867751780264,"British Columbia, Canada",4915,Canada,08-21-2020,202,96.16669572211796,53.7267,-127.6476,British Columbia,3889
153,824.0,4.109867751780264,"British Columbia, Canada",4915,Canada,08-22-2020,202,96.16669572211796,53.7267,-127.6476,British Columbia,3889
154,824.0,4.109867751780264,"British Columbia, Canada",4915,Canada,08-23-2020,202,96.16669572211796,53.7267,-127.6476,British Columbia,3889
155,913.0,3.915895061728395,"British Columbia, Canada",5184,Canada,08-24-2020,203,101.42993908920843,53.7267,-127.6476,British Columbia,4068
156,925.0,3.8725677222434185,"British Columbia, Canada",5242,Canada,08-25-2020,203,102.56476479661085,53.7267,-127.6476,British Columbia,4114
157,902.0,3.8273001508295614,"British Columbia, Canada",5304,Canada,08-26-2020,203,103.7778543459031,53.7267,-127.6476,British Columbia,4199
158,915.0,3.79746835443038,"British Columbia, Canada",5372,Canada,08-27-2020,204,105.10833965803008,53.7267,-127.6476,British Columbia,4253
159,982.0,3.7117903930131013,"British Columbia, Canada",5496,Canada,08-28-2020,204,107.53451875661452,53.7267,-127.6476,British Columbia,4310
160,982.0,3.7117903930131013,"British Columbia, Canada",5496,Canada,08-29-2020,204,107.53451875661452,53.7267,-127.6476,British Columbia,4310
161,982.0,3.7117903930131013,"British Columbia, Canada",5496,Canada,08-30-2020,204,107.53451875661452,53.7267,-127.6476,British Columbia,4310
162,1107.0,3.592400690846287,"British Columbia, Canada",5790,Canada,08-31-2020,208,113.28691113551642,53.7267,-127.6476,British Columbia,4475
163,1133.0,3.573871409028728,"British Columbia, Canada",5848,Canada,09-01-2020,209,114.42173684291879,53.7267,-127.6476,British Columbia,4506
164,1138.0,3.5114247311827955,"British Columbia, Canada",5952,Canada,09-02-2020,209,116.45659673205415,53.7267,-127.6476,British Columbia,4605
165,1186.0,3.4762456546929315,"British Columbia, Canada",6041,Canada,09-03-2020,210,118.19796721410269,53.7267,-127.6476,British Columbia,4645
166,1245.0,3.424212917883804,"British Columbia, Canada",6162,Canada,09-04-2020,211,120.56544843126976,53.7267,-127.6476,British Columbia,4706
167,1245.0,3.424212917883804,"British Columbia, Canada",6162,Canada,09-05-2020,211,120.56544843126976,53.7267,-127.6476,British Columbia,4706
168,1245.0,3.424212917883804,"British Columbia, Canada",6162,Canada,09-06-2020,211,120.56544843126976,53.7267,-127.6476,British Columbia,4706
169,1245.0,3.424212917883804,"British Columbia, Canada",6162,Canada,09-07-2020,211,120.56544843126976,53.7267,-127.6476,British Columbia,4706
170,1400.0,3.23167956304051,"British Columbia, Canada",6591,Canada,09-08-2020,213,128.9592454739531,53.7267,-127.6476,British Columbia,4978
171,1400.0,3.23167956304051,"British Columbia, Canada",6591,Canada,09-09-2020,213,128.9592454739531,53.7267,-127.6476,British Columbia,4978
172,1412.0,3.1185944363103952,"British Columbia, Canada",6830,Canada,09-10-2020,213,133.63551002686992,53.7267,-127.6476,British Columbia,5205
173,1476.0,3.0594656707842574,"British Columbia, Canada",6962,Canada,09-11-2020,213,136.21821680923404,53.7267,-127.6476,British Columbia,5273
174,1476.0,3.0594656707842574,"British Columbia, Canada",6962,Canada,09-12-2020,213,136.21821680923404,53.7267,-127.6476,British Columbia,5273
175,1476.0,3.0594656710000003,"British Columbia, Canada",6962,Canada,09-13-2020,213,136.2182168,53.7267,-127.6476,British Columbia,5273
176,1614.0,3.0086550350322847,"British Columbia, Canada",7279,Canada,09-14-2020,219,142.4206262790024,53.7267,-127.6476,British Columbia,5446
177,1609.0,2.9690889370932765,"British Columbia, Canada",7376,Canada,09-15-2020,219,144.31852444483056,53.7267,-127.6476,British Columbia,5548
178,1631.0,2.920778874,"British Columbia, Canada",7498,Canada,09-16-2020,219,146.7055716,53.7267,-127.6476,British Columbia,5648
179,1705.0,2.870938275,"British Columbia, Canada",7663,Canada,09-17-2020,220,149.9339551,53.7267,-127.6476,British Columbia,5738
180,1822.0,2.8436623310000004,"British Columbia, Canada",7842,Canada,09-18-2020,223,153.436262,53.7267,-127.6476,British Columbia,5797
181,1822.0,2.8436623310000004,"British Columbia, Canada",7842,Canada,09-19-2020,223,153.436262,53.7267,-127.6476,British Columbia,5797
182,1822.0,2.8436623310000004,"British Columbia, Canada",7842,Canada,09-20-2020,223,153.436262,53.7267,-127.6476,British Columbia,5797
183,1987.0,2.765594542,"British Columbia, Canada",8208,Canada,09-21-2020,227,160.59740359999995,53.7267,-127.6476,British Columbia,5994
184,1488.0,2.733622351,"British Columbia, Canada",8304,Canada,09-22-2020,227,162.4757358,53.7267,-127.6476,British Columbia,6589
185,1399.0,2.7039904710000005,"British Columbia, Canada",8395,Canada,09-23-2020,227,164.25623819999996,53.7267,-127.6476,British Columbia,6769
186,1399.0,2.7039904710000005,"British Columbia, Canada",8395,Canada,09-24-2020,227,164.25623819999996,53.7267,-127.6476,British Columbia,6769
187,1349.0,2.661728967,"British Columbia, Canada",8641,Canada,09-25-2020,230,169.06946440000004,53.7267,-127.6476,British Columbia,7062
188,1349.0,2.661728967,"British Columbia, Canada",8641,Canada,09-26-2020,230,169.06946440000004,53.7267,-127.6476,British Columbia,7062
189,1349.0,2.661728967,"British Columbia, Canada",8641,Canada,09-27-2020,230,169.06946440000004,53.7267,-127.6476,British Columbia,7062
190,1298.0,2.615626403233049,"British Columbia, Canada",8908,Canada,09-28-2020,233,174.29357588863212,53.7267,-127.6476,British Columbia,7377
191,1268.0,2.596249861311439,"British Columbia, Canada",9013,Canada,09-29-2020,234,176.3480017382399,53.7267,-127.6476,British Columbia,7511
192,1284.0,2.560735390676297,"British Columbia, Canada",9138,Canada,09-30-2020,234,178.79374679729682,53.7267,-127.6476,British Columbia,7620
193,1261.0,2.5488069414316703,"British Columbia, Canada",9220,Canada,10-01-2020,235,180.39815555603818,53.7267,-127.6476,British Columbia,7724
194,1302.0,2.537042959172796,"British Columbia, Canada",9381,Canada,10-02-2020,238,183.5482751921035,53.7267,-127.6476,British Columbia,7841
195,1302.0,2.537042959172796,"British Columbia, Canada",9381,Canada,10-03-2020,238,183.5482751921035,53.7267,-127.6476,British Columbia,7841
196,1302.0,2.537042959172796,"British Columbia, Canada",9381,Canada,10-04-2020,238,183.5482751921035,53.7267,-127.6476,British Columbia,7841
197,1353.0,2.484854707875552,"British Columbia, Canada",9739,Canada,10-05-2020,242,190.55288904124248,53.7267,-127.6476,British Columbia,8144
198,1384.0,2.479422822883853,"British Columbia, Canada",9841,Canada,10-06-2020,244,192.54861700943286,53.7267,-127.6476,British Columbia,8213
199,1387.0,2.450783447167537,"British Columbia, Canada",9956,Canada,10-07-2020,244,194.7987024637653,53.7267,-127.6476,British Columbia,8325
200,1394.0,2.4339360222531288,"British Columbia, Canada",10066,Canada,10-08-2020,245,196.9509581157354,53.7267,-127.6476,British Columbia,8427
201,1406.0,2.405498281786941,"British Columbia, Canada",10185,Canada,10-09-2020,245,199.27930741195757,53.7267,-127.6476,British Columbia,8534
202,1406.0,2.405498281786941,"British Columbia, Canada",10185,Canada,10-10-2020,245,199.27930741195757,53.7267,-127.6476,British Columbia,8534
203,1406.0,2.405498281786941,"British Columbia, Canada",10185,Canada,10-11-2020,245,199.27930741195757,53.7267,-127.6476,British Columbia,8534
204,1406.0,2.405498281786941,"British Columbia, Canada",10185,Canada,10-12-2020,245,199.27930741195757,53.7267,-127.6476,British Columbia,8534
205,1476.0,2.32904788522452,"British Columbia, Canada",10734,Canada,10-13-2020,250,210.02101971133555,53.7267,-127.6476,British Columbia,9008
206,1496.0,2.2952625780389275,"British Columbia, Canada",10892,Canada,10-14-2020,250,213.1124414659835,53.7267,-127.6476,British Columbia,9146
207,1493.0,2.2657241254304874,"British Columbia, Canada",11034,Canada,10-15-2020,250,215.8908078530721,53.7267,-127.6476,British Columbia,9291
208,1513.0,2.2432746447403704,"British Columbia, Canada",11189,Canada,10-16-2020,251,218.9235317263028,53.7267,-127.6476,British Columbia,9425
209,1513.0,2.2432746447403704,"British Columbia, Canada",11189,Canada,10-17-2020,251,218.9235317263028,53.7267,-127.6476,British Columbia,9425
